wl,n,k
2.85E-01,2.97E+00,1.99E+00
2.85E-01,2.98E+00,2.00E+00
2.86E-01,2.98E+00,2.00E+00
2.87E-01,2.99E+00,2.01E+00
2.87E-01,3.00E+00,2.02E+00
2.88E-01,3.00E+00,2.02E+00
2.88E-01,3.01E+00,2.03E+00
2.89E-01,3.02E+00,2.04E+00
2.89E-01,3.03E+00,2.05E+00
2.90E-01,3.04E+00,2.06E+00
2.90E-01,3.06E+00,2.06E+00
2.91E-01,3.07E+00,2.07E+00
2.92E-01,3.09E+00,2.08E+00
2.92E-01,3.10E+00,2.08E+00
2.93E-01,3.12E+00,2.09E+00
2.93E-01,3.14E+00,2.09E+00
2.94E-01,3.16E+00,2.10E+00
2.94E-01,3.18E+00,2.10E+00
2.95E-01,3.21E+00,2.10E+00
2.96E-01,3.23E+00,2.10E+00
2.96E-01,3.26E+00,2.09E+00
2.97E-01,3.28E+00,2.08E+00
2.97E-01,3.30E+00,2.08E+00
2.98E-01,3.33E+00,2.07E+00
2.98E-01,3.35E+00,2.05E+00
2.99E-01,3.37E+00,2.04E+00
3.00E-01,3.39E+00,2.02E+00
3.00E-01,3.41E+00,2.00E+00
3.01E-01,3.43E+00,1.98E+00
3.01E-01,3.44E+00,1.96E+00
3.02E-01,3.45E+00,1.94E+00
3.03E-01,3.47E+00,1.92E+00
3.03E-01,3.47E+00,1.90E+00
3.04E-01,3.48E+00,1.88E+00
3.05E-01,3.49E+00,1.86E+00
3.05E-01,3.49E+00,1.83E+00
3.06E-01,3.49E+00,1.81E+00
3.06E-01,3.49E+00,1.80E+00
3.07E-01,3.49E+00,1.78E+00
3.08E-01,3.49E+00,1.76E+00
3.08E-01,3.49E+00,1.74E+00
3.09E-01,3.49E+00,1.73E+00
3.10E-01,3.48E+00,1.71E+00
3.10E-01,3.48E+00,1.70E+00
3.11E-01,3.47E+00,1.69E+00
3.11E-01,3.47E+00,1.68E+00
3.12E-01,3.46E+00,1.67E+00
3.13E-01,3.46E+00,1.66E+00
3.13E-01,3.45E+00,1.65E+00
3.14E-01,3.45E+00,1.64E+00
3.15E-01,3.44E+00,1.64E+00
3.15E-01,3.44E+00,1.63E+00
3.16E-01,3.43E+00,1.62E+00
3.17E-01,3.43E+00,1.62E+00
3.17E-01,3.42E+00,1.62E+00
3.18E-01,3.42E+00,1.61E+00
3.19E-01,3.41E+00,1.61E+00
3.19E-01,3.41E+00,1.61E+00
3.20E-01,3.40E+00,1.61E+00
3.21E-01,3.40E+00,1.61E+00
3.21E-01,3.40E+00,1.61E+00
3.22E-01,3.39E+00,1.61E+00
3.23E-01,3.39E+00,1.61E+00
3.23E-01,3.39E+00,1.62E+00
3.24E-01,3.39E+00,1.62E+00
3.25E-01,3.38E+00,1.63E+00
3.26E-01,3.38E+00,1.63E+00
3.26E-01,3.38E+00,1.64E+00
3.27E-01,3.38E+00,1.64E+00
3.28E-01,3.38E+00,1.65E+00
3.28E-01,3.39E+00,1.66E+00
3.29E-01,3.39E+00,1.67E+00
3.30E-01,3.39E+00,1.68E+00
3.31E-01,3.40E+00,1.69E+00
3.31E-01,3.41E+00,1.71E+00
3.32E-01,3.42E+00,1.72E+00
3.33E-01,3.43E+00,1.73E+00
3.33E-01,3.44E+00,1.75E+00
3.34E-01,3.46E+00,1.76E+00
3.35E-01,3.48E+00,1.78E+00
3.36E-01,3.50E+00,1.79E+00
3.36E-01,3.52E+00,1.80E+00
3.37E-01,3.55E+00,1.81E+00
3.38E-01,3.58E+00,1.82E+00
3.39E-01,3.61E+00,1.83E+00
3.39E-01,3.65E+00,1.84E+00
3.40E-01,3.68E+00,1.84E+00
3.41E-01,3.72E+00,1.84E+00
3.42E-01,3.76E+00,1.83E+00
3.43E-01,3.81E+00,1.82E+00
3.43E-01,3.85E+00,1.81E+00
3.44E-01,3.89E+00,1.79E+00
3.45E-01,3.93E+00,1.77E+00
3.46E-01,3.97E+00,1.74E+00
3.46E-01,4.00E+00,1.71E+00
3.47E-01,4.04E+00,1.68E+00
3.48E-01,4.07E+00,1.64E+00
3.49E-01,4.10E+00,1.60E+00
3.50E-01,4.12E+00,1.56E+00
3.50E-01,4.14E+00,1.52E+00
3.51E-01,4.16E+00,1.48E+00
3.52E-01,4.18E+00,1.43E+00
3.53E-01,4.19E+00,1.39E+00
3.54E-01,4.19E+00,1.35E+00
3.55E-01,4.20E+00,1.31E+00
3.55E-01,4.20E+00,1.26E+00
3.56E-01,4.20E+00,1.22E+00
3.57E-01,4.20E+00,1.18E+00
3.58E-01,4.19E+00,1.15E+00
3.59E-01,4.18E+00,1.11E+00
