wl,n,k
11.9048,2.167,0.004
12.1951,2.161,0.004
12.5,2.155,0.005
12.8205,2.149,0.006
13.1579,2.141,0.006
13.5135,2.133,0.007
13.8889,2.125,0.01
14.2857,2.116,0.012
14.7059,2.107,0.014
15.1515,2.097,0.016
15.625,2.086,0.017
16.129,2.074,0.018
16.6667,2.059,0.019
17.2414,2.042,0.019
17.8571,2.021,0.017
18.5185,1.995,0.016
19.2308,1.96,0.018
20,1.923,0.026
20.8333,1.883,0.029
21.7391,1.828,0.027
22.7273,1.751,0.028
23.8095,1.648,0.037
25,1.507,0.048
26.3158,1.296,0.066
27.7778,0.865,0.097
29.4118,0.093,0.944
31.25,0.107,2.072
33.3333,0.702,3.451
35.7143,2.653,5.788
38.4615,6.369,1.269
41.6667,4.347,0.153
45.4545,3.709,0.171
50,3.465,0.173
55.5556,3.324,0.151
62.5,3.223,0.12
71.4286,3.15,0.098
83.3333,3.097,0.079
100,3.058,0.063
125,3.029,0.049
166.6667,3.008,0.036
,,
wl,k,
