wl,n,k
2.07E-01,1.08E+00,2.59E+00
2.08E-01,1.08E+00,2.62E+00
2.09E-01,1.09E+00,2.64E+00
2.10E-01,1.10E+00,2.66E+00
2.11E-01,1.11E+00,2.69E+00
2.12E-01,1.12E+00,2.71E+00
2.13E-01,1.13E+00,2.74E+00
2.14E-01,1.14E+00,2.76E+00
2.15E-01,1.15E+00,2.79E+00
2.16E-01,1.16E+00,2.82E+00
2.17E-01,1.18E+00,2.85E+00
2.19E-01,1.19E+00,2.88E+00
2.20E-01,1.20E+00,2.91E+00
2.21E-01,1.22E+00,2.95E+00
2.22E-01,1.23E+00,2.98E+00
2.23E-01,1.25E+00,3.02E+00
2.24E-01,1.27E+00,3.06E+00
2.26E-01,1.29E+00,3.10E+00
2.27E-01,1.31E+00,3.14E+00
2.28E-01,1.33E+00,3.18E+00
2.29E-01,1.36E+00,3.22E+00
2.31E-01,1.38E+00,3.27E+00
2.32E-01,1.41E+00,3.32E+00
2.33E-01,1.45E+00,3.37E+00
2.34E-01,1.48E+00,3.43E+00
2.36E-01,1.52E+00,3.48E+00
2.37E-01,1.57E+00,3.54E+00
2.38E-01,1.62E+00,3.60E+00
2.40E-01,1.67E+00,3.67E+00
2.41E-01,1.73E+00,3.73E+00
2.43E-01,1.81E+00,3.80E+00
2.44E-01,1.89E+00,3.88E+00
2.45E-01,1.99E+00,3.95E+00
2.47E-01,2.11E+00,4.02E+00
2.48E-01,2.25E+00,4.09E+00
2.50E-01,2.41E+00,4.14E+00
2.51E-01,2.60E+00,4.16E+00
2.53E-01,2.80E+00,4.13E+00
2.54E-01,2.99E+00,4.06E+00
2.56E-01,3.13E+00,3.95E+00
2.58E-01,3.24E+00,3.84E+00
2.59E-01,3.32E+00,3.74E+00
2.61E-01,3.39E+00,3.65E+00
2.62E-01,3.46E+00,3.57E+00
2.64E-01,3.52E+00,3.50E+00
2.66E-01,3.58E+00,3.42E+00
2.67E-01,3.64E+00,3.35E+00
2.69E-01,3.70E+00,3.27E+00
2.71E-01,3.75E+00,3.18E+00
2.73E-01,3.81E+00,3.10E+00
2.74E-01,3.85E+00,3.01E+00
2.76E-01,3.89E+00,2.91E+00
2.78E-01,3.92E+00,2.81E+00
2.80E-01,3.93E+00,2.71E+00
2.82E-01,3.94E+00,2.61E+00
2.84E-01,3.93E+00,2.51E+00
2.86E-01,3.92E+00,2.42E+00
2.88E-01,3.89E+00,2.34E+00
2.90E-01,3.86E+00,2.27E+00
2.92E-01,3.82E+00,2.20E+00
2.94E-01,3.79E+00,2.15E+00
2.96E-01,3.75E+00,2.10E+00
2.98E-01,3.71E+00,2.07E+00
3.00E-01,3.67E+00,2.03E+00
3.02E-01,3.64E+00,2.01E+00
3.04E-01,3.61E+00,1.99E+00
3.07E-01,3.58E+00,1.97E+00
3.09E-01,3.55E+00,1.96E+00
3.11E-01,3.52E+00,1.95E+00
3.14E-01,3.50E+00,1.95E+00
3.16E-01,3.48E+00,1.95E+00
3.18E-01,3.47E+00,1.95E+00
3.21E-01,3.46E+00,1.95E+00
3.23E-01,3.44E+00,1.95E+00
3.26E-01,3.44E+00,1.96E+00
3.28E-01,3.43E+00,1.96E+00
3.31E-01,3.43E+00,1.97E+00
3.34E-01,3.43E+00,1.98E+00
3.36E-01,3.43E+00,1.99E+00
3.39E-01,3.43E+00,2.00E+00
3.42E-01,3.44E+00,2.01E+00
3.45E-01,3.44E+00,2.02E+00
3.47E-01,3.45E+00,2.03E+00
3.50E-01,3.46E+00,2.05E+00
3.53E-01,3.48E+00,2.06E+00
3.56E-01,3.49E+00,2.08E+00
3.59E-01,3.51E+00,2.10E+00
3.62E-01,3.54E+00,2.12E+00
3.66E-01,3.56E+00,2.15E+00
3.69E-01,3.60E+00,2.17E+00
3.72E-01,3.64E+00,2.21E+00
3.75E-01,3.69E+00,2.24E+00
3.79E-01,3.76E+00,2.27E+00
3.82E-01,3.85E+00,2.29E+00
3.86E-01,3.95E+00,2.30E+00
3.89E-01,4.06E+00,2.28E+00
3.93E-01,4.15E+00,2.23E+00
3.97E-01,4.23E+00,2.18E+00
4.01E-01,4.29E+00,2.13E+00
4.05E-01,4.34E+00,2.10E+00
4.08E-01,4.41E+00,2.08E+00
4.13E-01,4.51E+00,2.06E+00
4.17E-01,4.64E+00,2.02E+00
4.21E-01,4.78E+00,1.94E+00
4.25E-01,4.92E+00,1.80E+00
4.29E-01,5.01E+00,1.61E+00
4.34E-01,5.05E+00,1.41E+00
4.38E-01,5.04E+00,1.22E+00
4.43E-01,4.99E+00,1.05E+00
4.48E-01,4.93E+00,9.13E-01
4.53E-01,4.85E+00,7.99E-01
4.58E-01,4.78E+00,7.06E-01
4.63E-01,4.70E+00,6.31E-01
4.68E-01,4.63E+00,5.69E-01
4.73E-01,4.56E+00,5.18E-01
4.79E-01,4.49E+00,4.76E-01
4.84E-01,4.43E+00,4.40E-01
4.90E-01,4.38E+00,4.10E-01
4.96E-01,4.33E+00,3.84E-01
5.02E-01,4.28E+00,3.62E-01
5.08E-01,4.23E+00,3.43E-01
5.14E-01,4.19E+00,3.26E-01
5.20E-01,4.15E+00,3.11E-01
5.27E-01,4.11E+00,2.98E-01
5.34E-01,4.08E+00,2.86E-01
5.40E-01,4.05E+00,2.75E-01
5.48E-01,4.01E+00,2.66E-01
5.55E-01,3.99E+00,2.57E-01
5.62E-01,3.96E+00,2.49E-01
5.70E-01,3.93E+00,2.42E-01
5.78E-01,3.91E+00,2.35E-01
5.86E-01,3.89E+00,2.29E-01
5.94E-01,3.87E+00,2.23E-01
6.03E-01,3.85E+00,2.18E-01
6.12E-01,3.83E+00,2.13E-01
6.21E-01,3.81E+00,2.08E-01
6.30E-01,3.80E+00,2.03E-01
6.40E-01,3.78E+00,1.97E-01
6.50E-01,3.77E+00,1.92E-01
6.60E-01,3.76E+00,1.87E-01
6.70E-01,3.74E+00,1.81E-01
6.81E-01,3.73E+00,1.74E-01
6.93E-01,3.72E+00,1.66E-01
7.04E-01,3.72E+00,1.56E-01
7.16E-01,3.70E+00,1.42E-01
7.29E-01,3.68E+00,1.38E-01
7.42E-01,3.67E+00,1.34E-01
7.55E-01,3.66E+00,1.30E-01
7.69E-01,3.65E+00,1.25E-01
7.84E-01,3.64E+00,1.19E-01
7.98E-01,3.64E+00,1.12E-01
8.14E-01,3.63E+00,1.04E-01
8.30E-01,3.63E+00,9.42E-02
8.47E-01,3.62E+00,8.05E-02
8.65E-01,3.61E+00,5.91E-02
8.83E-01,3.58E+00,4.43E-02
9.02E-01,3.57E+00,2.27E-02
9.22E-01,3.55E+00,1.67E-02
9.42E-01,3.53E+00,1.54E-02
9.64E-01,3.51E+00,1.44E-02
9.87E-01,3.50E+00,1.34E-02
1.01E+00,3.48E+00,1.24E-02
1.04E+00,3.47E+00,1.16E-02
1.06E+00,3.46E+00,1.07E-02
1.09E+00,3.45E+00,9.95E-03
1.12E+00,3.44E+00,9.23E-03
1.15E+00,3.43E+00,8.55E-03
1.18E+00,3.42E+00,7.91E-03
1.22E+00,3.41E+00,7.32E-03
1.25E+00,3.40E+00,6.76E-03
1.29E+00,3.39E+00,6.24E-03
1.33E+00,3.39E+00,5.75E-03
1.38E+00,3.38E+00,5.30E-03
1.42E+00,3.37E+00,4.88E-03
1.47E+00,3.36E+00,4.48E-03
1.53E+00,3.36E+00,4.12E-03
1.59E+00,3.35E+00,3.78E-03
1.65E+00,3.34E+00,3.46E-03
1.72E+00,3.34E+00,3.16E-03
1.79E+00,3.33E+00,2.89E-03
1.87E+00,3.33E+00,2.64E-03
1.96E+00,3.32E+00,2.40E-03
2.05E+00,3.32E+00,2.18E-03
2.16E+00,3.31E+00,1.98E-03
2.28E+00,3.31E+00,1.79E-03
2.41E+00,3.30E+00,1.62E-03
2.55E+00,3.30E+00,1.46E-03
2.72E+00,3.30E+00,1.31E-03
2.91E+00,3.29E+00,1.18E-03
3.13E+00,3.29E+00,1.05E-03
3.38E+00,3.29E+00,9.40E-04
3.68E+00,3.28E+00,8.35E-04
4.03E+00,3.28E+00,7.38E-04
4.46E+00,3.28E+00,6.50E-04
4.99E+00,3.27E+00,5.69E-04
5.67E+00,3.27E+00,4.94E-04
6.56E+00,3.27E+00,4.27E-04
7.78E+00,3.27E+00,3.65E-04
9.56E+00,3.27E+00,3.09E-04
1.24E+01,3.26E+00,2.58E-04
