wl,n,k
4.92E+00,3.13E+00,3.24E+01
5.02E+00,3.25E+00,3.30E+01
5.12E+00,3.37E+00,3.36E+01
5.22E+00,3.50E+00,3.43E+01
5.32E+00,3.64E+00,3.49E+01
5.43E+00,3.78E+00,3.56E+01
5.54E+00,3.92E+00,3.63E+01
5.65E+00,4.07E+00,3.70E+01
5.76E+00,4.22E+00,3.77E+01
5.87E+00,4.39E+00,3.84E+01
5.99E+00,4.55E+00,3.92E+01
6.11E+00,4.73E+00,3.99E+01
6.23E+00,4.91E+00,4.07E+01
6.35E+00,5.09E+00,4.15E+01
6.48E+00,5.29E+00,4.22E+01
6.61E+00,5.49E+00,4.30E+01
6.74E+00,5.69E+00,4.39E+01
6.87E+00,5.91E+00,4.47E+01
7.01E+00,6.13E+00,4.55E+01
7.15E+00,6.37E+00,4.64E+01
7.29E+00,6.61E+00,4.73E+01
7.44E+00,6.86E+00,4.82E+01
7.58E+00,7.12E+00,4.91E+01
7.74E+00,7.38E+00,5.00E+01
7.89E+00,7.66E+00,5.09E+01
8.05E+00,7.95E+00,5.18E+01
8.21E+00,8.25E+00,5.28E+01
8.37E+00,8.55E+00,5.38E+01
8.53E+00,8.87E+00,5.48E+01
8.70E+00,9.20E+00,5.58E+01
8.88E+00,9.55E+00,5.68E+01
9.05E+00,9.90E+00,5.78E+01
9.23E+00,1.03E+01,5.89E+01
9.42E+00,1.06E+01,6.00E+01
9.60E+00,1.10E+01,6.11E+01
9.79E+00,1.14E+01,6.22E+01
9.99E+00,1.19E+01,6.33E+01
1.02E+01,1.23E+01,6.44E+01
1.04E+01,1.27E+01,6.56E+01
1.06E+01,1.32E+01,6.67E+01
1.08E+01,1.37E+01,6.79E+01
1.10E+01,1.42E+01,6.91E+01
1.12E+01,1.47E+01,7.03E+01
1.15E+01,1.52E+01,7.16E+01
1.17E+01,1.58E+01,7.28E+01
1.19E+01,1.63E+01,7.41E+01
1.22E+01,1.69E+01,7.53E+01
1.24E+01,1.75E+01,7.66E+01
