wl,n,k
4.71E+00,2.92E+00,3.09E+01
4.81E+00,2.98E+00,3.15E+01
4.91E+00,3.05E+00,3.21E+01
5.01E+00,3.11E+00,3.28E+01
5.12E+00,3.18E+00,3.34E+01
5.22E+00,3.25E+00,3.41E+01
5.33E+00,3.33E+00,3.47E+01
5.44E+00,3.40E+00,3.54E+01
5.56E+00,3.48E+00,3.62E+01
5.67E+00,3.56E+00,3.69E+01
5.79E+00,3.64E+00,3.76E+01
5.91E+00,3.73E+00,3.84E+01
6.03E+00,3.82E+00,3.92E+01
6.16E+00,3.92E+00,4.00E+01
6.29E+00,4.02E+00,4.08E+01
6.42E+00,4.12E+00,4.16E+01
6.55E+00,4.23E+00,4.25E+01
6.69E+00,4.35E+00,4.33E+01
6.83E+00,4.47E+00,4.42E+01
6.97E+00,4.60E+00,4.51E+01
7.11E+00,4.73E+00,4.60E+01
7.26E+00,4.88E+00,4.70E+01
7.41E+00,5.02E+00,4.79E+01
7.57E+00,5.18E+00,4.89E+01
7.72E+00,5.34E+00,4.99E+01
7.88E+00,5.51E+00,5.10E+01
8.05E+00,5.69E+00,5.20E+01
8.22E+00,5.88E+00,5.31E+01
8.39E+00,6.08E+00,5.41E+01
8.56E+00,6.28E+00,5.52E+01
8.74E+00,6.50E+00,5.64E+01
8.92E+00,6.72E+00,5.75E+01
9.11E+00,6.96E+00,5.87E+01
9.30E+00,7.21E+00,5.99E+01
9.49E+00,7.46E+00,6.11E+01
9.69E+00,7.73E+00,6.23E+01
9.89E+00,8.01E+00,6.36E+01
1.01E+01,8.30E+00,6.49E+01
1.03E+01,8.61E+00,6.62E+01
1.05E+01,8.93E+00,6.75E+01
1.07E+01,9.26E+00,6.89E+01
1.10E+01,9.60E+00,7.03E+01
1.12E+01,9.96E+00,7.17E+01
1.14E+01,1.03E+01,7.31E+01
1.17E+01,1.07E+01,7.45E+01
1.19E+01,1.11E+01,7.60E+01
1.21E+01,1.15E+01,7.75E+01
1.24E+01,1.20E+01,7.90E+01
